country_name,country_code,year,unemployment_rate,youth_unemployment,employment_ratio,gdp,gdp_per_capita,gdp_per_capita_ppp,inflation,government_debt,foreign_direct_investment,trade_percent_gdp,education_spending,school_enrollment,opportunity_index,opportunity_rank
Guyana,GUY,2018,13.627,25.283,47.421,4787636997.85343,6048.38697180418,12980.3571798196,1.28284288443528,,24.6552860335465,,4.45058012008667,,68.36785,165
Syrian Arab Republic,SYR,2019,13.36,32.07,32.933,22583045060.0821,1109.53926036049,4825.40602053761,13.4175653228571,,,41.9994711236162,,,53.888,221
Syrian Arab Republic,SYR,2020,15.191,36.166,31.931,12047752036.091,572.355289831901,4633.34951847728,,,,44.818335302748,,,65.66405,206
Syrian Arab Republic,SYR,2022,13.268,31.788,32.968,23622827079.5047,1051.67149587463,4454.85373271464,,,,35.6094680799956,,,66.52940000000001,204
Syrian Arab Republic,SYR,2023,13.187,31.707,32.999,,,,,,,,,,,
Syrian Arab Republic,SYR,2021,14.877,34.579,32.101,14353205678.4991,663.614245706815,4592.83860100874,,,,61.2204850955149,,,65.80535,206
Syrian Arab Republic,SYR,2018,13.497,32.379,32.688,21497782867.6426,1098.0668642357,4956.09296464777,0.940983843906769,,,50.6590991144828,,,66.42635,199
Finland,FIN,2019,6.695,17.128,55.222,267014821129.411,48358.1807773701,56838.8120639167,1.02409392963431,,6.09707710249334,80.5641502947367,6.41695022583008,94.5891189575195,85.48725,19
Finland,FIN,2020,7.759,21.193,54.283,270000311606.226,48828.6846862799,55343.3836535647,0.290554555653239,,-0.939114055968044,72.1845955995888,6.6349401473999,96.4726333618164,82.008450000000011,21
Finland,FIN,2022,6.719,14.138,56.362,280241515774.32,50438.4753952355,57405.5518560939,7.12350773301402,,4.67298550552399,94.132058739535,,104.944221496582,84.47645,10
Finland,FIN,2023,7.151,16.107,55.965,295532341254.907,52925.6897638424,56454.8496937512,6.25064322154763,,-0.0880162430168816,85.3336748134055,,,79.28205,34
Finland,FIN,2021,7.617,17.058,55.216,294223210496.119,53099.1351400148,56739.1308987573,2.19457432340007,,8.01406291677226,79.7892781913782,6.53825998306274,100.868072509766,84.07235,13
Finland,FIN,2018,7.361,16.958,54.944,273869255596.078,49654.2497035329,56143.6853303391,1.08382098409305,,-3.84456657280518,79.1436148422846,6.27557992935181,92.3850021362305,82.18755,20
Italy,ITA,2019,9.951,29.152,44.651,2019606796583.53,33812.788724868,49645.6963150395,0.611246943765304,,1.77066894209208,58.6941902594738,4.09527015686035,65.6895065307617,78.22205000000001,53
Italy,ITA,2020,9.164,29.39,43.832,1907481094079.23,32091.4866621366,45463.9202005971,-0.13770757391651,,-0.893869914296467,53.9394839042764,4.44135999679565,68.7231063842773,79.3762,40
Italy,ITA,2022,8.069,23.704,45.078,2102995942720.44,35635.7442204098,52206.4866229918,8.20128991161718,,2.98280776340516,72.0531919277732,,73.8962097167969,79.86895,38
Italy,ITA,2023,7.627,22.727,46.002,2300941152991.81,39003.3160954123,52588.6899412963,5.62219442195901,,1.8261985109804,66.2401067969222,,,77.067849999999993,53
Italy,ITA,2021,9.497,29.665,43.842,2179207773596.09,36852.5425414951,49780.3380006538,1.87378325762481,,1.14272563508111,60.3019776202798,4.21828985214233,71.2745208740234,79.22635,44
Italy,ITA,2018,10.61,32.168,44.338,2099435266458.67,34746.3441392416,48866.8366577442,1.13748763600391,,2.10769610409513,59.2749835128154,4.25614023208618,64.4753265380859,78.725500000000011,48
Bosnia and Herzegovina,BIH,2019,15.692,35.106,41.532,20482608755.379,6122.3753450882,17014.3599695707,0.56278215406123,44.0235719186881,2.18661377542075,94.5161278874242,4.04449987411499,41.597038269043,68.467997459880024,122
Bosnia and Herzegovina,BIH,2020,15.868,37.676,41.016,20226036564.4129,6130.31133245161,16732.3454396879,-1.0512960076349,45.4216368447367,2.38939048355651,82.1112652572898,3.01954078674316,40.8813400268555,72.76816603893522,95
Bosnia and Herzegovina,BIH,2022,12.657,31.728,42.656,24534663636.1778,7655.59421024383,19280.8873000514,14.0208440826771,41.7435105198961,3.47041348895988,110.20596766123,,44.6326713562012,69.967333486204666,151
Bosnia and Herzegovina,BIH,2023,10.668,27.27,44.155,27514782476.0406,8638.66620201187,19829.2822572462,6.1059011284828,40.4237746125128,3.7622620799658,99.8983684696212,,44.9843902587891,73.3358465655167,89
Bosnia and Herzegovina,BIH,2021,14.897,35.705,41.54,23672712242.2149,7295.3438240957,18270.3351779512,1.98163900587622,46.9748191378299,3.24230816818479,96.4859085777747,4.13622999191284,43.5776786804199,72.178746862899885,101
Bosnia and Herzegovina,BIH,2018,18.4,40.362,40.473,20484053868.9246,6047.84584261133,16334.4225054088,1.41710814018034,44.8932408077693,2.93781358415463,98.4320911961869,3.89297008514404,43.1571083068848,70.9278744973632,131
Maldives,MDV,2019,4.562,13.497,60.729,5726094799.37709,11740.2724029785,21855.501224579,0.220029731065383,,16.7834728448357,137.125230822792,4.12356948852539,51.3613624572754,65.7471,150
Maldives,MDV,2020,5.434,16.109,59.357,3712604583.36665,7393.8886543933,14242.9750701162,-1.36977425569811,,11.8706880719155,114.361902844174,5.84760808944702,28.3089008331299,71.0547,115
Maldives,MDV,2022,4.419,14.956,60.775,6177118113.94637,11786.0091545343,21357.8112511153,2.33314337624567,,11.8538627115723,162.243570470777,4.67344331741333,49.9534454345703,75.51145,76
Maldives,MDV,2023,4.241,15.036,60.725,6590894301.9579,12530.3602359683,22286.9801703571,2.92746542425035,,11.5540645912499,150.032369927009,5.16706371307373,,74.59155,79
Maldives,MDV,2021,5.024,15.428,60.967,5252457369.55218,10176.143882547,19052.6224904311,0.543149688737013,,12.238665987932,142.607296758605,4.61379766464233,24.8425178527832,73.239200000000011,87
Maldives,MDV,2018,4.95,13.98,58.897,5404344162.69888,11423.2838427029,20998.879189238,-0.133373386117595,,10.6517647807373,142.491128578069,3.85681772232056,,74.272500000000008,85
Mauritania,MRT,2019,10.416,23.372,36.756,7894764885.82312,1767.072710621,6162.21045071341,2.30009262117937,,-11.1917343784634,93.4866941351317,1.82317996025085,5.8698902130127,54.6128,219
Mauritania,MRT,2020,11.054,25.601,36.148,8260752385.23089,1795.76459566714,5963.23550334684,2.3856948845632,,11.2328299227716,86.7761681322741,1.802649974823,5.95125007629395,64.5257,215
